User,Comment
Al Kureshi,"I hope foodies will stand with Sultan’s Dine. This is terrible if just one baseless acquisition can ruin a business like that. (I hate their kacchi myself, but still... It's about principles.)"
NB_sledge790 s,Rafsan seriously started showing  them memes while they are about to lose their entire business!! Props to that guys for keeping his cool!
Rokeya Motin,"Great man you are indeed!
I am literally shocked how a guy can flim such a controversial topic impartially!Hatsoff chotobhai"
D. Celestio,"""Bring Justice to Food"". Don't stop until the root of this matter is reached. In a way this might be the situation that best fits your motto."
Shamimara Nawaz,"JazaakAllaah  for the useful video,  Allaah may forgive us and show us the right path,   bless you my son Rafsan, Aameen"
Musaddikur R Sindit,সুলতান ডাইন কে এই দুঃসময় বিনোদন দেওয়ার জন্য Rafsan TheChotoBhai কে ধন্যবাদ..
Tahmid Liam,"2:03 “এটা যদি কুত্তার বিরিয়ানি হয় তাহলে আমার খুব কষ্ট লাগবে। কারণ Dogs are really cute man"""
GAMEAR• EFAZ,Rafsan always brings justice for us
Tanvir Ahmed,Brave word from Rafsan “Power and Money Can Buy Anything in Bangladesh “ Hats Off Bro
Sidratul Muntaha,The best moment 1:15 Rafsan's reaction
Syed Ayman Gaming,"Thank you so much Rafsan Bhaiya  
My Mom also thanked you for your opinion about the situation and also about this video ... My Mom is a big fan of yours . Love from Khulna"
pidoo,Rafsan seriously started showing them memes when they are about to loose their entire business!! Props to that guy for keeping his cool!
neon80s,"This video did not expose anything about Sultan Dine. Rafsan just checked the meat (Which does not have the ""small bones"" in the video) and showed memes about Sultan Dine to the manager"
Tahmina Akhtar,"You always point out the right things,bruhhh"
Himika Jahan,after he left the restaurant his words ️ it's sad but you have to agree with him cuz these are very very true facts of our country
Wahid,The customers took 7 packets only and made a complain. And for such a small amount their higher officers themselves went there this thing is really suspicious. Where they deal with larger amount of orders daily.
Dr. Albe Khan,"IDK what if they really served doggy, but I know that Rafsan can make it really funny 
Thanks for the message at the end. SAY NO TO CORRUPTION."
soach,0:40 funniest intro ever
k-pop lover,"I am damn sure, 
If Bear Grylls comes bd, I definitely found him in Sultan’s dine restaurant with this kacchi....."
sumaiya rahman,Rafsan seriously started showing them memes when they are about loose their entire business!! Props to that guy for keeping his cool!
Fabiha Ashrafi Esha,Finally someone actually tried to find out the truth
FoodieBuzz,Your last minute's speech was mind blowing! inspiring!
mahmuda hossain,"তোমার সব গুলো ভিডিও থেকে আজকের এই ভিডিও টার শেষে তোমার কথাগুলোই আমার মন ছুয়ে গেছে  মাঝে মাঝে মনে হয় পরাধীনতার দেশে আছি,,,,,,আমার আমার করছি কিন্তু আমার বলতে এই দেশে কিছুই নাই।বাগ্গিস আমাদের হায়াত টা টাকা দিয়ে কেনা না"
Md. Jafar Uddin,"Premium food deserves premium quality. They should be so transparent no one would ever bat an eye on them. But like you said, this is Bangladesh, so there's no need to even think about these stuff."
NightMonkey808,Hats off to the editor for all those doggo videos uwu
RAJ CJ,Finally someone tried to find out the truth love you rafsan %️‍keep going bro
💜Insanelyinaaya💜,The end was . Money can do Anything possible in Bangladesh. Hopefully they didn’t do anything like what people are saying. Doing honest business.
AYT,"Imagine hearing the news of ""dog kacchi"" right after the day of ordering a kacchi from sultans dine . That's what happened to me ..I ate that.."
Farhan Akash,"Rafsan 
Truly speaking i had no respect for you man , but after this vedio i am in love with you  
Huge respect man"
Fabiha Ashrafi Esha,"Say no to corruption, you're our future"
Hossain Asiya,Almighty Allah bless you brother
Ahmed Junaid,Very well said at the last . (Rafsan bhaiya) you didn’t say a normal thing it’s a life teaching thank you so much . Love you
mahmudul hasan,"Last speech was splendid brother, keep it up️️️"
Saimon ShakiL,"শেষে আপনার কথাগুলা আসলেই সত্য,বাংলাদেশে টাকা হলে মানুষের মাংসকেও খাসির মাংস বলে চালানো যাবে।।"
Tannies lover,"Justice is matters....
Never want an innocent person to badly suffers...."
piko0.1,RAFSAN IS BECOMING A REPORTER FOR US
Ankur Raz Bongshi,The last message was great and hearttouching.
purple world,"I Love U Rafsan bro , u r just awesome always in every ways"
Mahin Gamer,Me Running Away From Sultan's Dine Because They Saw My Mom Calling Me Kuttar Bachha
Samia Ritu,Rafsan..take love...just like you we all want justice..
Liza Akter,as always a truthful person
jihad rahman,"Wonderful video , good quality, good content & love you Rafsan The Chotobhai  ️️"
Mahim Mahim,"This is what you called bringing Justice
Well done Rafsan bro"
Lima Rahman,"Rafsan be like - 
Forgot the English word while telling English. So he officilaly invented Banglish"
Cockroach,Rafsan as a food vloger < As a reporter
Md Ismail,Honest review ever ️️
Fatema Begum,Your videos always reflect your effort.
Mohammed,"সঠিক তদন্ত হওয়া উচিৎ এবং দোষীদের কে আইনের আওতায় আনা প্রয়োজন। আমি নিজেও মাঝে মাঝে ওদের গুলশান ব্রাঞ্চে খেতে যেতাম, কিসের মাংস মিক্স করে ওরা সেটা শিওর না হতে পারলেও ওরা যে টয়লেটের পাশেই প্লেট ওয়াশ করে তা আজ টিভি তে দেখে প্রচন্ড ঘেন্না লাগলো, নিতান্ত বাধ্য না হলে এই দেশের কোনো রেস্টুরেন্টেই আর খাবো না..."
Amazon AF,রাফসান ভাই notify you. আপনার রিভিউকে যথেষ্ট সম্মান ও বিশ্বাস করি।  সুতরাং এমন কোন মহল বা লোকের সাথে যুক্ত হয়েন না যারা দুর্নীতির সাথে যুক্ত ।  কারন বিশ্বাসের জায়গাটা ভেঙ্গে গেলে আর কখনো গড়ে তুলতে পারবেন না।
i Unknown,Best time to go Sultan Dine right now.
rafsan imran,ভাই কথা শেষের টা ই বাংলাদেশ এমন একটা দেশ যেখানে টাকা থাকলে সব সম্ভব
Tamanna Tabassum Mim,Bringing justice!
MegaLion2009_Ahmed Zulkar Naine,You are best food blogger in south Asia. Keep it up bro!
sabia jerin,Wow!! Rafsan did it better than any other investigative journalism!  Awesome!!
0167 Ferdous Hasan,"You are an honest courageous guy, hats off man"
Success shorts,Justice equaled in the end
Abu Saeed,7:46 business policy caught on 4K
i.am. blessed,"You are a great guy️️
10:30 these lines️️️"
Sumaiya Tayeba,"Was waiting for Rafsan Bhaiya's ""justice"" ."
Tamhid Ahmed,Love you bro you are a real hero ️
Code SCF,"To see another sparkling Youtuber be so sad about his country, really makes one wonder what kind of country he's in.
I really do think we need a Revolution."
Ismail Hossain,Rafsan Being Matured Day By Day.
Sabbir Hossain,এতো বিতর্ক হওয়ার পরেও কি তারা এখনো কুত্তা খাওয়াবে? খবর নিয়ে দেখে এতোদিন তারা ২/৩কেজির খাসি বানিয়ে খাওয়াচ্ছে
Fatema Oboni,10 minutes worth it!
Esa Ahmad,The intro was masterpiece
tahmid  billioniar song,"সুলতানস ডাইন  যেটা করুক না কেন,,,,,,,,,,এই কয়েকদিন  সুলতানস ডাইনের খাবার খাবেন,,, কারন ওরা ওই মুহুরতে ভুলেও খারাপ কিছু  খায়াবেন না।,,,,,,,"
Zahir Senpai,"Bro....
The best, literally the best intro  i' ve ever seen in ur video"
Tashfin Anwar,Ain’t nobody going to talk about how Rafsan almost said Shuwar er mangsho instead of kuttar mangsho  in 5:39
Glitchz,"What a guy dude , randomly found one dog is missing and he started his mission to find that and guess what he went to sultans dine to find it, (justice is cooking in sultan dine's kitchen)"
Sami Rifat,"Assalamu alaikum bhaiya
Eita tbh onek bhalo kaaj korsen ei shomoy e. Like bhaiya just a day later the scandal you stood up first and went and cleared people's misconception. Despite being hesitating you ate the food in front of the camera for the viewers. Loved your messages in the end that you are still uncertain and didn't make any judgements or factual endings but instead told the viewers to be more careful and explained the condition of things in our country
Just love you bhai, keep up the work. Aunty ke salaam diyen bhaiya️"
HM Plugin,"I really thought it was a paid review until the last part ""corruption"". Thank you!"
Nehal Abir,@chotovai definitely you didn't bring justice to anyone. Just went with the flow.
10 Unknown Facts,Bro your sayings got my heart
Shumon Fame TV,"Hats off for the last part..
️ & GOLD"
David Benjamin Singha,Bear Grylls - Bye guys I am going to Bangladesh
Tamzid Azam Priyo,you should really bring that guy who posted the video/complained about the food right infront of the AGM
Abdullah Al Mamun,ভাইয়া তোমার শেষের কথা গুলো অনেক ভালো লাগছে..... এই ভাবে এগিয়ে যাও সাথে দেশটাকে ও এগিয়ে নিয়ে যাও.... দোয়া রইলো তোমার জন্য ️‍
কফি ও কবিতা - Coffee & Poetry,Your report is absolutely amazing without any biases.
Lam Labib,"No One But ""SULTAN DYNE"" Can Gives You ""কুত্তার কাচ্চি"""
Maimuna Akter,That was amazing!!keep it up... Love you
ArefinR,Old Rafsanis back
Md mahmudul Hasan,"Rafsan the chota bhai, your speaking presentation is very beautiful, Rafsan wants to see you wherever there is injustice."
Zulkar9 Rafayel,"For the development of our country , the legal system of the country should be improved"
Aŋʋʀʌʛ,Brother please add English subtitles as well
Sharmin Sultana,"""' ভয় লাগে ভাই, আসলেই ভয় লাগে ""  দারুন ছিল"
Gaming with Tahmid,1:13 got me dying
